Matière,Classe,PlaylistID
Mathématiques,6e,PL8wYNxz_ge2j8qHBbpjfLCSmolLoKe7LI
Mathématiques,5e,PL8wYNxz_ge2gIqqqlfoZnAknmVbUnrOsV
Mathématiques,4e,PL8wYNxz_ge2i2OXMWd5F6QPVWIC9MNAeV
Mathématiques,3e,PL8wYNxz_ge2iuBNmZfDtqQ7bVDfAXXGUV
Mathématiques,2ndeTI,PL8wYNxz_ge2iQy-vs3Swfwbb6T2Ou6b0V
Mathématiques,2ndeA4,PL8wYNxz_ge2iIAREUWP62Z6L-SQe2_G8u
Mathématiques,2ndeC,PL8wYNxz_ge2i9Geu2IzZ1XkEjjhQ74FJz
Mathématiques,1ère_TI,PL8wYNxz_ge2h7g_vViVR3Y_BealRQ4dFP
Mathématiques,1ère_C,PL8wYNxz_ge2jzZGkV8vIz8KhBn0m_kOlg
Mathématiques,1ère_D,PL8wYNxz_ge2jEWW6DtZWLsohBqTIPHXOC
Mathématiques,1ère_A4,PL8wYNxz_ge2hovcycCv5LSiBX3KX7jaBS
Mathématiques,TleTI,PL8wYNxz_ge2hYOCgf1dm0hTBxyZzM01jU
Mathématiques,TleC,PL8wYNxz_ge2gc446G0jf7UO-8B9bXp5jW
Mathématiques,TleD,PL8wYNxz_ge2jpEmGD0m24KW_Js35g70px
Mathématiques,TleA4,PL8wYNxz_ge2jgYcRS_3M1LKIa62kmkTQi
Informatique,6e,PL8wYNxz_ge2irxT-O3MsenJ5MNzyjolRn
Informatique,5e,PL8wYNxz_ge2itkkRppkfHt6sCtXjCI6HW
Informatique,4e,PL8wYNxz_ge2gx6mzAHK9SCVSg01o-lfGa
Informatique,3e,PL8wYNxz_ge2hMENKO56QWB_v_mG8KdYn2
Informatique,2ndeTI,PL8wYNxz_ge2jh4xcnWzdVc997n_6D3FCB
Informatique,2ndeA4,PL8wYNxz_ge2jeeuHVGxXIYMNvzV2Etz-B
Informatique,2ndeC,PL8wYNxz_ge2jjbxfVj7SXArQITuEQGSl2
Informatique,1ère_A4,PL8wYNxz_ge2gn2WEtMGqR9y61zxRUfD6M
Informatique,TleTI,PL8wYNxz_ge2i_BNFwZKHpnhkMvt-7JBOE